bacterial infections and mycoses,['c01']
mevalonate kinase deficiency,"['c10.228.140.163.100.680.430', 'c15.378.147.542.319', 'c16.320.382.750', 'c16.320.565.189.680.430', 'c16.320.565.663.480', 'c18.452.132.100.680.430', 'c18.452.648.189.680.430', 'c18.452.648.663.480', 'c20.683.460.319']"
refsum disease,"['c10.228.140.163.100.680.760', 'c10.500.300.780', 'c10.574.500.495.780', 'c10.668.829.800.300.780', 'c16.131.666.300.780', 'c16.320.400.375.780', 'c16.320.565.189.680.760', 'c16.320.565.663.760', 'c18.452.132.100.680.760', 'c18.452.648.189.680.760', 'c18.452.648.663.760']"
"refsum disease, infantile","['c10.228.140.163.100.680.865', 'c16.320.565.189.680.865', 'c16.320.565.663.865', 'c18.452.132.100.680.865', 'c18.452.648.189.680.865', 'c18.452.648.663.865']"
phenylketonurias,"['c10.228.140.163.100.687', 'c16.320.565.100.766', 'c16.320.565.189.687', 'c18.452.132.100.687', 'c18.452.648.100.766', 'c18.452.648.189.687']"
"phenylketonuria, maternal","['c10.228.140.163.100.687.500', 'c13.703.575', 'c16.320.565.100.766.500', 'c16.320.565.189.687.500', 'c18.452.132.100.687.500', 'c18.452.648.100.766.500', 'c18.452.648.189.687.500']"
pyruvate carboxylase deficiency disease,"['c10.228.140.163.100.725', 'c16.320.565.189.725', 'c16.320.565.202.810.666', 'c18.452.132.100.725', 'c18.452.648.189.725', 'c18.452.648.202.810.666', 'c18.452.660.705']"
pyruvate dehydrogenase complex deficiency disease,"['c10.228.140.163.100.750', 'c10.597.606.643.455.875', 'c16.320.322.500.875', 'c16.320.400.525.875', 'c16.320.565.189.750', 'c16.320.565.202.810.766', 'c18.452.132.100.750', 'c18.452.648.189.750', 'c18.452.648.202.810.766', 'c18.452.660.710']"
tyrosinemias,"['c10.228.140.163.100.875', 'c16.320.565.100.880', 'c16.320.565.189.875', 'c18.452.132.100.875', 'c18.452.648.100.880', 'c18.452.648.189.875']"
"urea cycle disorders, inborn","['c10.228.140.163.100.937', 'c16.320.565.100.940', 'c16.320.565.189.937', 'c18.452.132.100.937', 'c18.452.648.100.940', 'c18.452.648.189.937']"
argininosuccinic aciduria,"['c10.228.140.163.100.937.124', 'c16.320.565.100.940.124', 'c16.320.565.189.937.124', 'c18.452.132.100.937.124', 'c18.452.648.100.940.124', 'c18.452.648.189.937.124']"
carbamoyl-phosphate synthase i deficiency disease,"['c10.228.140.163.100.937.249', 'c16.320.565.100.940.249', 'c16.320.565.189.937.249', 'c18.452.132.100.937.249', 'c18.452.648.100.940.249', 'c18.452.648.189.937.249', 'c18.452.660.097']"
citrullinemia,"['c10.228.140.163.100.937.374', 'c16.320.565.100.940.374', 'c16.320.565.189.937.374', 'c18.452.132.100.937.374', 'c18.452.648.100.940.374', 'c18.452.648.189.937.374']"
hyperargininemia,"['c10.228.140.163.100.937.500', 'c16.320.565.100.940.500', 'c16.320.565.189.937.500', 'c18.452.132.100.937.437', 'c18.452.648.100.940.437', 'c18.452.648.189.937.437']"
ornithine carbamoyltransferase deficiency disease,"['c10.228.140.163.100.937.750', 'c16.320.322.828', 'c16.320.565.100.940.750', 'c16.320.565.189.937.750', 'c18.452.132.100.937.500', 'c18.452.648.100.940.500', 'c18.452.648.189.937.500']"
kernicterus,"['c10.228.140.163.480', 'c15.378.120.413.502', 'c16.614.304.502', 'c18.452.132.480', 'c20.188.413.502', 'c23.550.429.750']"
marchiafava-bignami disease,"['c10.228.140.163.510', 'c10.314.475']"
"myelinolysis, central pontine","['c10.228.140.163.560', 'c10.314.500', 'c18.452.132.560']"
wernicke encephalopathy,"['c10.228.140.163.960', 'c18.452.132.960', 'c18.654.521.500.133.699.827.822', 'c25.100.625']"
brain edema,['c10.228.140.187']
brain injuries,"['c10.228.140.199', 'c10.900.300.087', 'c26.260.118', 'c26.915.300.200']"
brain concussion,"['c10.228.140.199.250', 'c10.900.300.087.125', 'c10.900.300.350.300', 'c26.260.118.150', 'c26.915.300.200.150', 'c26.974.150', 'c26.974.382.200']"
post-concussion syndrome,"['c10.228.140.199.250.500', 'c10.900.300.087.125.500', 'c10.900.300.350.300.500', 'c26.260.118.150.500', 'c26.915.300.200.150.500', 'c26.974.150.500', 'c26.974.382.200.500']"
"brain hemorrhage, traumatic","['c10.228.140.199.275', 'c10.228.140.300.535.450.200', 'c10.900.300.087.187', 'c10.900.300.837.150', 'c14.907.253.573.400.150', 'c26.260.118.175', 'c26.915.300.200.175', 'c26.915.300.490.150']"
"brain stem hemorrhage, traumatic","['c10.228.140.199.275.200', 'c10.228.140.300.535.450.200.500', 'c10.900.300.087.187.200', 'c10.900.300.837.150.300', 'c14.907.253.573.400.150.200', 'c26.260.118.175.150', 'c26.915.300.200.175.200', 'c26.915.300.490.150.200']"
"cerebral hemorrhage, traumatic","['c10.228.140.199.275.300', 'c10.228.140.300.535.200.200', 'c10.228.140.300.535.450.200.750', 'c10.900.300.087.187.300', 'c10.900.300.837.150.650', 'c14.907.253.573.200.200', 'c14.907.253.573.400.150.300', 'c26.260.118.175.300', 'c26.915.300.200.175.300', 'c26.915.300.490.150.300']"
diffuse axonal injury,"['c10.228.140.199.600', 'c10.900.300.087.500', 'c26.260.118.300', 'c26.915.300.200.300']"
"epilepsy, post-traumatic","['c10.228.140.199.650', 'c10.228.140.490.380', 'c10.900.300.087.600', 'c26.260.118.475', 'c26.915.300.200.475']"
pneumocephalus,"['c10.228.140.199.700', 'c10.228.806', 'c10.900.300.087.700', 'c26.260.118.650', 'c26.915.300.200.650']"
cerebellar diseases,['c10.228.140.252']
cerebellar ataxia,"['c10.228.140.252.190', 'c10.597.350.090.500', 'c23.888.592.350.090.200']"
spinocerebellar ataxias,"['c10.228.140.252.190.530', 'c10.228.140.252.700.700', 'c10.228.854.787.875', 'c10.574.500.825.700', 'c10.597.350.090.500.530', 'c16.320.400.780.875']"
ataxia telangiectasia,"['c10.228.140.252.190.530.060', 'c10.562.100', 'c10.597.350.090.500.530.060', 'c14.907.823.213', 'c16.320.080', 'c18.452.284.060', 'c20.673.290']"
machado-joseph disease,"['c10.228.140.252.190.530.530', 'c10.228.140.252.700.700.500', 'c10.228.854.787.875.500', 'c10.574.500.825.700.500', 'c10.597.350.090.500.530.530', 'c16.320.400.780.875.500']"
dandy-walker syndrome,"['c10.228.140.252.300', 'c10.228.140.602.288', 'c10.228.140.631.450.500', 'c10.500.205', 'c16.131.666.205']"
spinocerebellar degenerations,"['c10.228.140.252.700', 'c10.228.854.787', 'c10.574.500.825', 'c16.320.400.780']"
friedreich ataxia,"['c10.228.140.252.700.150', 'c10.228.854.787.200', 'c10.574.500.825.200', 'c16.320.400.780.200', 'c18.452.660.300']"
myoclonic cerebellar dyssynergia,"['c10.228.140.252.700.250', 'c10.228.854.787.500', 'c10.574.500.825.250', 'c16.320.400.780.500']"
cerebrovascular disorders,"['c10.228.140.300', 'c14.907.253']"
brain ischemia,"['c10.228.140.300.150', 'c14.907.253.092']"
brain infarction,"['c10.228.140.300.150.477', 'c10.228.140.300.775.200', 'c14.907.253.092.477', 'c14.907.253.855.200']"
brain stem infarctions,"['c10.228.140.300.150.477.100', 'c10.228.140.300.775.200.100', 'c14.907.253.092.477.100', 'c14.907.253.855.200.100']"
lateral medullary syndrome,"['c10.228.140.300.150.477.100.500', 'c10.228.140.300.775.200.100.500', 'c14.907.253.092.477.100.500', 'c14.907.253.855.200.100.500']"
cerebral infarction,"['c10.228.140.300.150.477.200', 'c10.228.140.300.775.200.200', 'c14.907.253.092.477.200', 'c14.907.253.855.200.200']"
"dementia, multi-infarct","['c10.228.140.300.150.477.200.199', 'c10.228.140.300.400.408', 'c10.228.140.300.775.200.200.199', 'c10.228.140.380.230.250', 'c14.907.253.092.477.200.199', 'c14.907.253.855.200.200.199']"
"infarction, anterior cerebral artery","['c10.228.140.300.150.477.200.400', 'c10.228.140.300.510.200.325', 'c10.228.140.300.775.200.200.400', 'c14.907.253.092.477.200.400', 'c14.907.253.560.200.325', 'c14.907.253.855.200.200.400']"
"infarction, middle cerebral artery","['c10.228.140.300.150.477.200.450', 'c10.228.140.300.510.200.387', 'c10.228.140.300.775.200.200.450', 'c14.907.253.092.477.200.450', 'c14.907.253.560.200.387', 'c14.907.253.855.200.200.450']"
"infarction, posterior cerebral artery","['c10.228.140.300.150.477.200.475', 'c10.228.140.300.510.200.418', 'c10.228.140.300.775.200.200.475', 'c14.907.253.092.477.200.475', 'c14.907.253.560.200.418', 'c14.907.253.855.200.200.475']"
"hypoxia-ischemia, brain","['c10.228.140.300.150.716', 'c10.228.140.624.500', 'c14.907.253.092.716']"
"ischemic attack, transient","['c10.228.140.300.150.836', 'c14.907.253.092.836']"
vertebrobasilar insufficiency,"['c10.228.140.300.150.956', 'c14.907.253.092.956', 'c14.907.253.956']"
subclavian steal syndrome,"['c10.228.140.300.150.956.700', 'c14.907.253.092.956.700', 'c14.907.253.956.700']"
carotid artery diseases,"['c10.228.140.300.200', 'c14.907.253.123']"
carotid artery injuries,"['c10.228.140.300.200.345', 'c10.228.140.300.350.500', 'c10.900.250.300', 'c14.907.253.123.345', 'c14.907.253.535.500', 'c26.915.200.200']"
"carotid artery, internal, dissection","['c10.228.140.300.200.345.300', 'c10.228.140.300.200.356', 'c10.228.140.300.350.500.300', 'c10.900.250.300.300', 'c14.907.055.050.150', 'c14.907.253.123.345.300', 'c14.907.253.123.356', 'c14.907.253.535.500.300', 'c26.915.200.200.500']"
carotid-cavernous sinus fistula,"['c10.228.140.300.200.345.350', 'c10.228.140.300.200.357', 'c10.228.140.300.350.500.350', 'c10.900.250.300.400', 'c14.907.253.123.345.400', 'c14.907.253.123.357', 'c14.907.253.535.500.350', 'c26.915.200.200.550']"
carotid artery thrombosis,"['c10.228.140.300.200.355', 'c14.907.253.123.355', 'c14.907.253.566.206', 'c14.907.355.590.213.206', 'c14.907.355.830.850.213.206']"
carotid stenosis,"['c10.228.140.300.200.360', 'c14.907.137.230', 'c14.907.253.123.360']"
moyamoya disease,"['c10.228.140.300.200.600', 'c10.228.140.300.510.200.737', 'c14.907.137.615', 'c14.907.253.123.620', 'c14.907.253.560.200.737']"
cerebral small vessel diseases,"['c10.228.140.300.275', 'c14.907.253.329']"
cadasil,"['c10.228.140.300.275.249', 'c10.228.140.300.400.203', 'c10.228.140.300.510.200.175', 'c10.228.140.380.230.124', 'c14.907.253.329.249', 'c14.907.253.560.200.175', 'c16.320.129']"
microscopic polyangiitis,"['c10.228.140.300.275.600', 'c14.907.253.329.600', 'c14.907.940.897.249.500', 'c20.111.193.750']"
"stroke, lacunar","['c10.228.140.300.275.800', 'c10.228.140.300.775.600', 'c14.907.253.329.800', 'c14.907.253.855.600']"
cerebrovascular trauma,"['c10.228.140.300.350', 'c10.900.250', 'c14.907.253.535', 'c26.915.200']"
vertebral artery dissection,"['c10.228.140.300.350.875', 'c10.228.140.300.950', 'c10.900.250.650', 'c14.907.055.050.575', 'c14.907.253.535.800', 'c14.907.253.953', 'c26.915.200.600']"
"dementia, vascular","['c10.228.140.300.400', 'c10.228.140.300.510.800.500', 'c10.228.140.380.230', 'c10.228.140.695.500', 'c10.228.518.500', 'c14.907.137.126.372.500', 'c14.907.253.560.350.500']"
intracranial arterial diseases,"['c10.228.140.300.510', 'c14.907.253.560']"
cerebral arterial diseases,"['c10.228.140.300.510.200', 'c14.907.253.560.200']"
cerebral amyloid angiopathy,"['c10.228.140.300.510.200.200', 'c14.907.253.560.200.200', 'c18.452.845.500.100']"
intracranial aneurysm,"['c10.228.140.300.510.600', 'c14.907.055.635', 'c14.907.253.560.300']"
intracranial arteriosclerosis,"['c10.228.140.300.510.800', 'c14.907.137.126.372', 'c14.907.253.560.350']"
intracranial arteriovenous malformations,"['c10.228.140.300.520', 'c10.500.190.500', 'c14.240.850.750.295', 'c14.240.850.875.500', 'c14.907.150.295', 'c14.907.253.560.400', 'c16.131.240.850.750.295', 'c16.131.240.850.875.500', 'c16.131.666.190.500']"
vein of galen malformations,"['c10.228.140.300.520.500', 'c10.500.190.500.500', 'c14.240.850.750.295.500', 'c14.240.850.875.500.500', 'c14.907.150.295.500', 'c14.907.253.560.400.500', 'c16.131.240.850.750.295.500', 'c16.131.240.850.875.500.500', 'c16.131.666.190.500.500']"
intracranial embolism and thrombosis,"['c10.228.140.300.525', 'c14.907.253.566', 'c14.907.355.590.213', 'c14.907.355.830.850.213']"
intracranial embolism,"['c10.228.140.300.525.400', 'c14.907.253.566.300', 'c14.907.355.590.213.300', 'c14.907.355.830.850.213.300']"
intracranial thrombosis,"['c10.228.140.300.525.425', 'c14.907.253.566.350', 'c14.907.355.590.213.350', 'c14.907.355.830.850.213.350']"
"sinus thrombosis, intracranial","['c10.228.140.300.525.425.500', 'c14.907.253.566.350.500', 'c14.907.355.590.213.350.500', 'c14.907.355.830.850.213.350.500']"
cavernous sinus thrombosis,"['c10.228.140.300.525.425.500.375', 'c14.907.253.566.350.500.375', 'c14.907.355.590.213.350.500.375', 'c14.907.355.830.850.213.350.500.375']"
lateral sinus thrombosis,"['c10.228.140.300.525.425.500.562', 'c14.907.253.566.350.500.562', 'c14.907.355.590.213.350.500.562', 'c14.907.355.830.850.213.350.500.562']"
sagittal sinus thrombosis,"['c10.228.140.300.525.425.500.750', 'c14.907.253.566.350.500.750', 'c14.907.355.590.213.350.500.750', 'c14.907.355.830.850.213.350.500.750']"
intracranial hemorrhages,"['c10.228.140.300.535', 'c14.907.253.573', 'c23.550.414.913']"
cerebral hemorrhage,"['c10.228.140.300.535.200', 'c14.907.253.573.200', 'c23.550.414.913.100']"
"intracranial hemorrhage, hypertensive","['c10.228.140.300.535.325', 'c14.907.253.573.350']"
"intracranial hemorrhage, traumatic","['c10.228.140.300.535.450', 'c10.900.300.837', 'c14.907.253.573.400', 'c26.260.616', 'c26.915.300.490']"
"hematoma, epidural, cranial","['c10.228.140.300.535.450.300', 'c10.900.300.837.300', 'c14.907.253.573.400.400', 'c23.550.414.838.349', 'c23.550.414.913.400', 'c26.260.616.300', 'c26.915.300.490.400']"
"hematoma, subdural","['c10.228.140.300.535.450.400', 'c10.900.300.837.600', 'c14.907.253.573.400.450', 'c23.550.414.838.700', 'c23.550.414.913.700', 'c26.260.616.600', 'c26.915.300.490.450']"
"hematoma, subdural, acute","['c10.228.140.300.535.450.400.050', 'c10.900.300.837.600.050', 'c14.907.253.573.400.450.050', 'c23.550.414.838.700.100', 'c23.550.414.913.700.100', 'c26.260.616.600.050', 'c26.915.300.490.450.050']"
"hematoma, subdural, chronic","['c10.228.140.300.535.450.400.120', 'c10.900.300.837.600.120', 'c14.907.253.573.400.450.120', 'c23.550.414.838.700.200', 'c23.550.414.913.700.200', 'c26.260.616.600.120', 'c26.915.300.490.450.120']"
"hematoma, subdural, intracranial","['c10.228.140.300.535.450.400.400', 'c10.900.300.837.600.400', 'c14.907.253.573.400.450.400', 'c23.550.414.838.700.400', 'c23.550.414.913.700.400', 'c26.260.616.600.400', 'c26.915.300.490.450.400']"
"subarachnoid hemorrhage, traumatic","['c10.228.140.300.535.450.650', 'c10.228.140.300.535.800.700', 'c10.900.300.837.800', 'c14.907.253.535.600', 'c14.907.253.573.400.700', 'c14.907.253.573.800.700', 'c26.260.616.800', 'c26.915.300.490.700']"
pituitary apoplexy,"['c10.228.140.300.535.625', 'c10.228.140.617.738.350', 'c14.907.253.573.600', 'c19.700.725']"
subarachnoid hemorrhage,"['c10.228.140.300.535.800', 'c14.907.253.573.800', 'c23.550.414.913.850']"
"leukomalacia, periventricular","['c10.228.140.300.700', 'c10.228.140.461.550', 'c14.907.253.612', 'c16.614.521.450']"
sneddon syndrome,"['c10.228.140.300.750', 'c14.907.253.774', 'c17.800.862.775']"
stroke,"['c10.228.140.300.775', 'c14.907.253.855']"
vascular headaches,"['c10.228.140.300.800', 'c10.228.140.546.699.500', 'c14.907.253.937']"
"vasospasm, intracranial","['c10.228.140.300.900', 'c14.907.253.951']"
dementia,['c10.228.140.380']
alzheimer disease,"['c10.228.140.380.100', 'c10.574.945.249']"
"aphasia, primary progressive","['c10.228.140.380.132', 'c10.597.606.150.500.800.100.155', 'c23.888.592.604.150.500.800.100.155']"
primary progressive nonfluent aphasia,"['c10.228.140.380.132.600', 'c10.228.140.380.266.600', 'c10.574.950.300.600', 'c10.597.606.150.500.800.100.155.600', 'c18.452.845.800.300.600', 'c23.888.592.604.150.500.800.100.155.600']"
creutzfeldt-jakob syndrome,"['c10.228.140.380.165', 'c10.228.228.800.230']"
diffuse neurofibrillary tangles with calcification,"['c10.228.140.380.254', 'c10.574.945.374']"
frontotemporal lobar degeneration,"['c10.228.140.380.266', 'c10.574.950.300', 'c18.452.845.800.300']"
frontotemporal dementia,"['c10.228.140.380.266.299', 'c10.574.950.300.299', 'c18.452.845.800.300.299']"
kluver-bucy syndrome,"['c10.228.140.380.326', 'c10.228.140.646']"
pick disease of the brain,['c10.228.140.380.615']
cerebral ventriculitis,"['c10.228.140.430.249', 'c10.228.228.245.169']"
encephalomyelitis,"['c10.228.140.430.500', 'c10.228.228.291', 'c10.228.440']"
meningoencephalitis,"['c10.228.140.430.550', 'c10.228.228.245.550', 'c10.228.228.507.850', 'c10.228.228.553', 'c10.228.566.500']"
encephalomalacia,['c10.228.140.461']
epilepsy,['c10.228.140.490']
"epilepsies, myoclonic",['c10.228.140.490.250']
"myoclonic epilepsies, progressive",['c10.228.140.490.250.650']
lafora disease,"['c10.228.140.490.250.650.500', 'c10.574.500.529', 'c16.320.400.480']"
unverricht-lundborg syndrome,"['c10.228.140.490.250.650.900', 'c10.574.500.875', 'c16.320.400.940']"
"myoclonic epilepsy, juvenile",['c10.228.140.490.250.670']
"epilepsies, partial",['c10.228.140.490.360']
"epilepsy, complex partial",['c10.228.140.490.360.260']
"epilepsy, frontal lobe",['c10.228.140.490.360.270']
"epilepsy, partial, motor",['c10.228.140.490.360.272']
"epilepsy, partial, sensory",['c10.228.140.490.360.275']
"epilepsy, rolandic",['c10.228.140.490.360.280']
"epilepsy, temporal lobe",['c10.228.140.490.360.290']
"epilepsy, benign neonatal","['c10.228.140.490.370', 'c16.614.258']"
"epilepsy, generalized",['c10.228.140.490.375']
"epilepsy, absence",['c10.228.140.490.375.260']
"epilepsy, tonic-clonic",['c10.228.140.490.375.290']
"spasms, infantile",['c10.228.140.490.375.760']
"epilepsy, reflex",['c10.228.140.490.450']
landau-kleffner syndrome,['c10.228.140.490.535']
seizures,"['c10.228.140.490.631', 'c10.597.742', 'c23.888.592.742']"
"seizures, febrile",['c10.228.140.490.650']
status epilepticus,['c10.228.140.490.690']
epilepsia partialis continua,['c10.228.140.490.690.260']
headache disorders,['c10.228.140.546']
"headache disorders, primary",['c10.228.140.546.399']
migraine disorders,['c10.228.140.546.399.750']
migraine with aura,['c10.228.140.546.399.750.250']
migraine without aura,['c10.228.140.546.399.750.450']
ophthalmoplegic migraine,"['c10.228.140.546.399.750.725', 'c10.292.562.750.375', 'c10.292.675', 'c10.314.687', 'c10.597.622.447.600', 'c11.590.472.375', 'c23.888.592.636.447.600']"
tension-type headache,['c10.228.140.546.399.875']
trigeminal autonomic cephalalgias,['c10.228.140.546.399.937']
cluster headache,['c10.228.140.546.399.937.500']
paroxysmal hemicrania,['c10.228.140.546.399.937.750']
sunct syndrome,['c10.228.140.546.399.937.875']
"headache disorders, secondary",['c10.228.140.546.699']
post-dural puncture headache,['c10.228.140.546.699.124']
post-traumatic headache,['c10.228.140.546.699.249']
hydrocephalus,"['c10.228.140.602', 'c10.228.140.631.450']"
"hydrocephalus, normal pressure",['c10.228.140.602.559']
hypothalamic diseases,['c10.228.140.617']
bardet-biedl syndrome,"['c10.228.140.617.200', 'c16.131.077.112']"
laurence-moon syndrome,"['c10.228.140.617.500', 'c16.131.077.509']"
pituitary diseases,"['c10.228.140.617.738', 'c19.700']"
empty sella syndrome,"['c10.228.140.617.738.200', 'c19.700.320']"
